不,ふ - ぶ,,not,寝不足(ねぶそく) － sleep deprived
世,せい - せ,よ,world,世界(せかい) world
主,しゅ - す,ぬし - おも - あるじ,master,主義(しゅぎ) － (one's) principle
事,じ - ず,こと,abstract thing,食事(しょくじ) － a meal
乗,じょう,の－る,ride,"乗り場(の ば) － platform (train, bus, etc.)"
京,きょう - けい - きん,みやこ,capital,京都(きょうと) － Kyoto
仕,し,つか－える,serve,仕事(しごと) － work
代,だい - たい,か－わる - よ,substitute,古代(こだい) － ancient times
以,い,もっ－て,since,以上(いじょう) － more than (ex. more than 1 hour 「1時間以上」)
低,てい,ひく－い,low,最低(さいてい) － worst
作,さく - さ,つく－る,make,手作り(てづくり) － handmade
体,たい - てい,からだ,body,体育館(たいいくかん) － gymnasium
住,じゅう,す－む,dwell,住所(じゅうしょ) － address
使,し,つか－う,use,大使館(たいしかん) － embassy
便,べん - びん,たよ－り,convenience,郵便局(ゆうびんきょく) － post office
借,しゃく,か－りる,borrow,貸借(たいしゃく) － loan
働,どう,はたら－く,work,活動(かつどう) － activity
元,げん - がん,もと,origin,地元(じもと) － local; hometown
兄,けい - きょう,あに - え,older brother,兄(あに) － one's older brother
光,こう,ひかり - ひか－る,light,観光(かんこう) － sight-seeing
写,しゃ,うつ－す,copy,写真(しゃしん) － photograph
冬,とう,ふゆ,winter,冬季(とうき) － (season of) winter
切,せつ - さい,きーる,cut,大切(たいせつ) － important
別,べつ,わか－れる,separate,送別(そうべつ) － farewell; send off
力,りき - りょく,ちから,power,電力(でんりょく) － electric power
勉,べん,つと－める,diligence,勉強(べんきょう) － study
動,どう,うご－く - うご－かす,move,自動車(じどうしゃ) － automobile
区,く,,ward,地区(ちく) － district
医,い,,doctor,医師(いし) － doctor
去,きょ - こ,さ－る,leave,去年(きょねん) － last year
合,ごう - かっ,あ－う - あ－わす - あ－わせる,fit,(  ) -
台,だい - たい,うてな,base,(  ) -
同,どう,おな－じ,same,(  ) -
味,み,あじ - あじ－わう,flavor,意味(いみ) － meaning
品,ひん - ほん,しな,article,食品(しょくひん) － food products
員,いん,,member,全員(ぜんいん) － everyone; all members
問,もん,と－う - とん,question,質問(しつもん) － question
図,ず - と,はか－る,drawing,地図(ちず) － map
地,ち - じ,つち,ground,地球(ちきゅう) － earth
堂,どう,,public chamber,食堂(しょくどう) － cafeteria; restaurant
場,じょう,ば,place,場所(ばしょ) － place
声,せい - しょう,こえ - こわ,voice,(  ) -
売,ばい,う－る,sell,(  ) -
夏,か - げ,なつ,summer,(  ) -
夕,せき,ゆう - ゆうべ,evening,夕食(ゆうしょく) － dinner
夜,や,よる,night,今夜(こんや) － tonight
太,た - たい,ふと－い - はなは－だ,fat,(  ) -
好,こう,す－く - この－む,like,お好み焼き(おこのみやき) － Okonomiyaki
妹,まい,いもうと - いも,younger sister,(  ) -
姉,し,あね,older sister,(  ) -
始,し,はじ－める - はじ－まる,begin,(  ) -
字,じ,あざ - あざな,character,漢字(かんじ) － kanji
室,しつ,むろ,room,和室(わしつ) － Japanese-style room
家,か - け,いえ - や,house,(  ) -
寒,かん,さむ－い,cold,(  ) -
屋,おく,や,premise,"居酒屋(いざかや) － Izakaya, Japaness-style bar"
工,こう - く,たくみ,craft,工事(こうじ) － construction
市,し,いち,city,(  ) -
帰,き,かえ－る - かえ－す,return home,帰国する(きこく ) － to return to one's own country
広,こう,ひろ－い - ひろ－める - ひろ－まる,wide,"広島(ひろしま) － Hiroshima (literally ""Wide island"")"
度,ど,たび,degrees,(  )
建,けん - こん,た－てる - た－つ,build,建物(たてもの) － building
引,いん,ひ－く,pull,引越し(ひっこ ) － move (to a new place)
弟,てい,おとうと,younger brother,(  ) -
弱,じゃく,よわ－い,weak,(  ) -
強,きょう - ごう,つよ－い - あなが－ち,strong,(  ) -
待,たい,ま－つ,wait,(  ) -
心,しん,こころ,heart,(  ) -
思,し,おも－う - おぼ－す,think,(  ) -
急,きゅう,いそ－ぐ,hurry,"特急(とっきゅう) － express (train, bus, etc.)"
悪,あく - お,わる－い - にく－む,bad,(  ) -
意,い,,idea,意見(いけん) － opinion
所,しょ,ところ,place,休憩所(きゅうけいじょ) － rest area
持,じ,も－つ,hold,(  ) -
教,きょう,おし－える,teach,教育(きょういく) － education
文,ぶん - もん,ふみ - あや,writing,作文(さくぶん) － essay
