一,ひと, ひと(つ),ひと－つ,one,一人(ひとり)－alone
二,に,ふた－つ,two,二人(ふたり)－couple
三,さん,みっ－つ,three,三月(さんがつ)－March
四,し,よん - よっ－つ,four, 四季(しき)－four seasons
五,ご,いつ－つ,five,五分(ごふん)－five minutes
六, ろく,むっ－つ - むい,six, 六(ろく)－six
七,しち,なな－つ - なの - なぬ,seven,六(なな)－seven
八,はち,やっ－つ - よう,eight,八(はち)－eight
九,きゅう - く,ここの－つ,nine,九(きゅう)－nine
十,じゅう,とお - とう,ten,十(じゅう)－ten
百,ひゃく,もも,hundreds,百(ひゃく)－hundreds
千,せん,ち,thousand,千(せん)－thousand
万,ばん - まん,よろず,ten thousand - myriad,万(まん)－ten thousand
父,ふ,ちち,father,お父さん(おとうさん)－father
母,ぼ - も,はは,mother,お母さん(おかあさん)－mother
友,ゆう,とも,friend,友だち(ともだち)－friend - 友人(ゆうじん)－friend
女,じょ - にょ,おんな,woman-female,女性(じょせい)－woman - 女の子(おんなのこ)－girl
男,だん - なん,おとこ - おのこ - お,man-male,男性(だんせい)－man - 男の子(おとこのこ)－boy
人,じん, にん, ひと, person-person counter suffix,	日本人(にほんじん)－Japanese person
子,し-す,こ-ね,child,子ども(こども)－child
日,じつ-にち,ひ-か,sun-day-day counter suffix, 日曜日(にちようび)－Sunday - お日さま(おひさま)－the Sun
月,がつ-げつ,つき,	month names-other times-moon-month,	月曜日(げつようび)－Monday-お月さま(おつきさま)－the Moon-一ヶ月(いっかげつ)－a month
火,か,ひ-ほ,fire-light,火曜日(かようび)－Tuesday-花火(はなび)－fire works
水,すい,みず,water,水曜日(すいようび)－Wednesday
木,もく-ぼく,き,tree-wood,木曜日(もくようび)－Thursday
金,きん-こん,かね,gold-metal-money, 金曜日(きんようび)－Friday-お金もち(おかねもち)－the rich
土,ど-と,つち,earth-ground-soil, 土曜日(どようび)ーSaturday
本,ほん,もと,root-book-slender object counter, 日本(にほん)－Japan-本屋(ほんや)－bookstore
休,きゅう,やす－み-やす－む,	rest-vacation, 休けい(きゅうけい)－break-rest- 夏休み(なつやすみ)－summer vacation
語,ご,かたり-かた－る,word-speech-language-narration-to tell-to speak,日本語(にほんご)－Japanese-英語(えいご)－English-物語(ものがたり)－tale
年,ねん,とし,year-year counter,一年(いちねん)－a year-今年(ことし)－this year
午,ご,うま,noon,正午(しょうご)－noon
前,ぜん,まえ-さき,before-in front of previous,午前(ごぜん)－before noon-午前(ごぜん)morning
後,ご-こう,うし－ろ-のち-あと,behind-after,午後(ごご)－afternoon
