ああ,,Ah! - Oh!
あう,会う,to meet - to see
あお,青,blue
あおい,青い,blue
あか,赤,red
あかい,赤い,red
あかるい,明るい,bright - cheerful
あき,秋,autumn - fall
あく,開く,to open - to become open
あける,開ける,to open
あげる,上げる,to give
あさ,朝,morning
あさごはん,朝御飯,breakfast
あさって,,day after tomorrow
あし,足,foot - leg
あした,,tomorrow
あそこ,,there - over there - that place
あそぶ,遊ぶ,to play - to enjoy oneself
あたたかい,暖かい,warm - mild
あたま,頭,head
あたらしい,新しい,new
あちら,,there - yonder - that
あつい,暑い,hot - warm
あつい,熱い,hot (thing)
あつい,厚い,kind - warm(hearted) - thick - deep
あっち,,over there
あと,後,afterwards - since then - in the future
あなた,,you
あに,兄,(hum) older brother
あね,姉,(hum) older sister
あの,,that over there
あの,,um...
アパート,,apartment (abbr)
あびる,,to bathe - to shower
あぶない,危ない,dangerous - critical - watch out!
あまい,甘い,generous - sweet
あまり,,not very - not much
あめ,雨,rain
あめ,飴,(hard) candy - toffee
あらう,洗う,to wash
ある [存在],,to be
ある [所有],,to have
あるく,歩く,to walk
あれ,,that - that thing
いい/よい,,good
いいえ,,no - not at all
いう,言う,to say
いえ,家,house - family
いかが,,how - in what way
いく/ゆく,行く,to go
いくつ,,how many? - how old?
いくら,,how much? - how many?
いけ,池,pond
いしゃ,医者,doctor (medical)
いす,,chair
いそがしい,忙しい,busy - irritated
いたい,痛い,painful
いち,一,one
いちにち,一日,1 day (duration)
いちばん,,best - first - number one
いつ,,when
いつか,五日,five days - the fifth day (of the month)
いっしょ,一緒,together
いつつ,五つ,five
いつも,,always - every time
いぬ,犬,dog
いま,今,now
いみ,意味,meaning
いもうと,妹,younger sister
いや,嫌,disagreeable - no
いりぐち,入口,entrance - gate
いる,居る,(hum) to be (animate) - to exist
いる,要る,to need
いれる,入れる,to put in
いろ,色,colour
いろいろ,,various
うえ,上,above - on top of
うしろ,後ろ,behind - rear
うすい,薄い,thin - weak
うた,歌,song
うたう,歌う,to sing
うち,,house (one's own)
うまれる,生まれる,to be born
うみ,海,sea - beach
うる,売る,to sell
うるさい,,noisy - loud - annoying
うわぎ,上着,coat - jacket
え,絵,picture - drawing - painting - sketch
えいが,映画,movie - film
えいがかん,映画館,movie theatre (theater) - cinema
えいご,英語,the English language
ええ,,yes
えき,駅,station
エレベーター,,elevator
～えん,～円,yen (currency)
えんぴつ,鉛筆,pencil
お～,,honourable ～ (honorific)
おいしい,,delicious - tasty
おおい,多い,many
おおきい,大きい,big
おおきな,大きな,big
おおぜい,大勢,great number of people
おかあさん,お母さん,(hon) mother
おかし,お菓子,confections - sweets - candy
おかね,お金,money
おきる,起きる,to get up - to rise
おく,置く,to put - to place
おくさん,奥さん,(hon) wife
おさけ,お酒,alcohol - sake (rice wine)
おさら,お皿,plate - dish
おじ・さん,伯父/叔父・さん,uncle - middle aged man
おじいさん,,grandfather - male senior citizen
おしえる,教える,to teach - to inform
おす,押す,to push - to press
おそい,遅い,late - slow
おちゃ,お茶,tea (green)
おてあらい,お手洗い,toilet - lavatory - bathroom
おとうさん,お父さん,(hon) father
おとうと,弟,younger brother
おとこ,男,man
おとこのこ,男の子,boy
おととい,,day before yesterday
おととし,,year before last
おとな,大人,adult
おなか,,stomach
おなじ,同じ,same - identical - similar
おにいさん,お兄さん,(hon) older brother
おねえさん,お姉さん,(hon) older sister
おばさん,伯母さん/叔母さん,aunt
おばあさん,,grandmother - female senior-citizen
おふろ,お風呂,bath
おべんとう,お弁当,boxed lunch
おぼえる,覚える,to remember - to memorize
おまわりさん,,policeman (friendly term)
おもい,重い,heavy
おもしろい,,interesting - amusing
およぐ,泳ぐ,to swim
おりる,降りる,to alight (eg from bus) - to get off
おわる,終る,to finish - to close
おんがく,音楽,music
おんな,女,woman - girl - daughter
おんなのこ,女の子,girl
～かい,～回,counter for occurrences
～かい,～階,counter for storeys of a building
がいこく,外国,foreign country
がいこくじん,外国人,foreigner
かいしゃ,会社,company - corporation
かいだん,階段,stairs
かいもの,買い物,shopping
かう,買う,to buy
かえす,返す,to return something
かえる,帰る,to go home - to return
かお,顔,face (person)
かかる,,to take (eg time - money)
かぎ,,key/s
かく,書く,to write
がくせい,学生,student
～かげつ,～か月,(number of) months
かける,,to put on (eg glasses)
かける,,to dial/call (eg phone)
かさ,傘,umbrella
かす,貸す,to lend
かぜ,風,wind - breeze
かぜ,風邪,cold - illness
かた,方,person
かぞく,家族,family
かたかな,片仮名,katakana
～がつ,～月,month of year
がっこう,学校,school
カップ,,cup
かてい,家庭,home - household
かど,角,corner (e.g. desk)
かばん,,bag - basket
かびん,花瓶,(flower) vase
かぶる,,to wear - to put on (head)
かみ,紙,paper
カメラ,,camera
かようび,火曜日,Tuesday
からい,辛い,spicy - salty
からだ,体,body
かりる,借りる,to borrow - to have a loan
～がる,,feel
かるい,軽い,light - non-serious - minor
カレー,,curry
カレンダー,,calendar
かわ,川/河,river
～がわ,側,～ side
かわいい,,cute - charming
かんじ,漢字,kanji - Chinese character
き,木,tree - wood
きいろ,黄色,yellow
きいろい,黄色い,yellow
きえる,消える,to go out - to vanish
きく,聞く,to hear - to listen - to ask
きた,北,north
ギター,,guitar
きたない,汚い,dirty - messy
きっさてん,喫茶店,coffee lounge
きって,切手,stamp (eg. postage)
きっぷ,切符,ticket
きのう,昨日,yesterday
きゅう,九,nine
ぎゅうにく,牛肉,beef
ぎゅうにゅう,牛乳,milk
きょう,今日,today - this day
きょうしつ,教室,classroom
きょうだい,兄弟,siblings (brothers and sisters)
きょねん,去年,last year
きらい,嫌い,dislike - hate
きる,切る,to cut - to chop
きる,着る,to wear - to put on (from shoulders down)
きれい,,pretty - clean - nice - tidy
キロ/キログラム,,kilo (kilogram)
キロ/キロメートル,,kilo (kilometre)
ぎんこう,銀行,bank
きんようび,金曜日,Friday
く,九,nine
くすり,薬,medicine
ください,,(with te-form verb) please do for me
くだもの,果物,fruit
くち,口,mouth - orifice - opening
くつ,靴,shoes - footwear
くつした,靴下,socks
くに,国,country
くもり,曇り,cloudiness - cloudy weather
くもる,曇る,to become cloudy - to become dim
くらい,暗い,dark - gloomy
～くらい/ぐらい,,approximate (quantity)
クラス,,class
グラム,,gram
くる,来る,to come
くるま,車,car - vehicle
くろ,黒,black
くろい,黒い,black
けいかん,警官,policeman
けさ,今朝,this morning
けす,消す,to erase - to delete - to turn off power
けっこう,結構,nice - enough
けっこん（する）,結婚,marriage
げつようび,月曜日,Monday
げんかん,玄関,entrance-way - entry hall
げんき,元気,health
～こ,～個,counter for small items
ご,五,five
～ご,～語,word - language
こうえん,公園,(public) park
こうさてん,交差点,intersection
こうちゃ,紅茶,black tea
こうばん,交番,police box
こえ,声,voice
コート,,coat
コーヒー,,coffee
ここ,,here - this place
ごご,午後,afternoon - P.M.
ここのか,九日,nine days - the ninth day (of the month)
ここのつ,九つ,nine
ごぜん,午前,morning - A.M.
こたえる,答える,to answer - to reply
こちら,,this eg person - way
こっち,,this eg person - way
コップ,,cup
ことし,今年,this year
ことば,言葉,word
こども,子供,child - children
この,,this
ごはん,御飯,rice (cooked) - meal
コピー・する,,to copy
こまる,困る,to be worried - to be bothered
これ,,this
～ころ/～ごろ,,about - approximately (time)
こんげつ,今月,this month
こんしゅう,今週,this week
こんな,,such - like this
こんばん,今晩,tonight - this evening
さあ,,come now - well
～さい,～歳,～years-old
さいふ,財布,wallet
さかな,魚,fish
さき,先,the future - former - previous
さく,咲く,to bloom
さくぶん,作文,composition - writing
さす,差す,to raise (stretch out) hands - to raise (eg umbrella)
～さつ,～冊,counter for books
ざっし,雑誌,magazine
さとう,砂糖,sugar
さむい,寒い,cold (e.g. weather)
さらいねん,さ来年,year after next
～さん,,Mr or Mrs
さん,三,three
さんぽ（する）,散歩,walk - stroll
し,四,four
～じ,～時,time (～ O'clock)
しお,塩,salt
しかし,,however - but
じかん,時間,time
～じかん,～時間,～hours
しごと,仕事,work - occupation - employment
じしょ,辞書,dictionary
しずか,静か,quiet - peaceful
した,下,under - below - beneath
しち,七,seven
しつもん,質問,question - inquiry
じてんしゃ,自転車,bicycle
じどうしゃ,自動車,automobile
しぬ,死ぬ,to die
じびき,字引,dictionary
じぶん,自分,myself - oneself
しまる,閉まる,to close - to be closed
しめる,閉める,to close - to shut
しめる,締める,to tie - to fasten
じゃ/じゃあ,,well - well then
しゃしん,写真,photograph
シャツ,,shirt - singlet
シャワー,,shower
じゅう,十,ten
～じゅう,～中,during - while
～しゅうかん,～週間,～weeks
じゅぎょう,授業,lesson - class work
しゅくだい,宿題,homework
じょうず,上手,skill - skillful - dexterity
じょうぶ,丈夫,strong - solid - durable
しょうゆ,,soy sauce
しょくどう,食堂,cafeteria - dining hall
しる,知る,to know - to understand
しろ,白,white
しろい,白い,white
～にん,～人,counter for people
しんぶん,新聞,newspaper
すいようび,水曜日,Wednesday
すう,吸う,to smoke - to breathe in - to suck
スカート,,skirt
すき,好き,liking - fondness - love
～すぎ,,to exceed - ～ too much
すくない,少ない,a few - scarce
すぐ・に,,immediately - instantly
すこし,少し,little - few
すずしい,涼しい,cool - refreshing
～ずつ,,at a time - gradually
ストーブ,,heater (lit: stove)
スプーン,,spoon
スポーツ,,sport
ズボン,,trousers (fr: jupon)
すむ,住む,to reside - to live in
スリッパ,,slippers
する,,to do - to try
すわる,座る,to sit
せい,背,height - stature
せいと,生徒,pupil
セーター,,sweater - jumper
せっけん,石鹸,soap
