党,トウ,なかま むら,partido- facção- clique
協,キョウ,,co-cooperação
総,ソウフ,す.べて すべ.て,geral- todo- todo- completo- total
区,ク オ ウ コ ウ,,ala- distrito
領,リョウ,,jurisdição- domínio- território- feudo- reino
県,ケン カ.ケ,,prefeitura
設,セツ モウ.ケ,,estabelecimento- provisão- preparar
改,カイ,あらた.める あらた.まる,reformar- alterar- modificar- consertar- renovar- examinar- inspecionar- pesquisar
府,,,bairro- prefeitura urbana- repartição pública- órgão representativo- depósito
査,サ,,investigar
委,イ ユダ.ネ,,comitê- encarregar- deixar para- dedicar- descartar
軍,グン,,exército- força- tropas- guerra- batalha
団,ダン トン,かたまり まる.い,associação de grupo
各,カク オノオ,,cada- cada- ou
島,トウ,しま,ilha
革,カク,かわ,couro- ficar sério- pele- couro- pele
村,ソンム,,vilarejo
勢,セイ ゼイ ハズ,いきお.い,forças- energia- força militar
減,ゲン,へ.る へ.らす,diminuir- diminuir- reduzir- diminuir- diminuir- ficar com fome
再,サ イ サ フ タ タ.,, novamente- duas vezes- segunda vez
税,ゼ,,taxa de imposto
営,エイ,いとな.む いとな.み,ocupação- acampamento- realizar- construir- conduzir (negócios)
比,ヒ クラ.ベ,,comparar- raça- razão- filipinas
防,ボウ フセ.,, afastar- defender- proteger- resistir
補,ホ,おぎな.う,suplemento- oferta- fazer bom- compensar- compensar- assistente- aluno
境,キョウ ケイ サカ,,fronteira- fronteira- região
導,ドウ ミチビ.,, orientação- liderar- conduzir- regente
副,フ,,vice-- duplicado- cópia
算,サン,そろ,calcular- adivinhar- número- ábaco- probabilidade
輸,ユ シ ュ,,transportar- enviar- ser inferior
述,ジュツ,の.べる,mencionar- declarar- falar- relacionar
線,セン,すじ,linha-pista
農,ノ,,agricultura- agricultores
州,シュウス,,estado-província
武,ブ ム タ ケ.,, guerreiro- militar- cavalaria- armas
象,ショウ ゾウ カタド.,, elefante- padrão após- imitar- imagem- forma- sinal (dos tempos)
域,イキ,,alcance- região- limites- estágio- nível
額,ガク ヒタ,,testa- comprimido- placa- imagem emoldurada- soma- quantidade- volume
欧,オ ウ ハ.,うた.う,Europa
担,タン,かつ.ぐ にな.う,ombro- carregar- levantar- suportar
準,ジュン,じゅん.じる じゅん.ずる なぞら.える のり ひと.しい みずもり,semi-- corresponder a- proporcional a- conforme- imitar
賞,ショウ,ほ.める,prêmio- recompensa- elogio
辺,ヘン -,あた.り ほと.り,arredores- limite- fronteira- vizinhança
造,ゾウ -ヅク.,つく.る つく.り,criar- fazer- estruturar- físico
被,ヒ カブ.セ,こうむ.る おお.う かぶ.る,incorrer- cobrir- véu- chocar- abrigar- vestir- vestir- ser exposto (filme)- receber
技,ギ,わざ,habilidade- arte- artesanato- habilidade- façanha- performance- vocação- artes
低,テイ,ひく.い ひく.める ひく.まる,baixo- baixo- humilde
復,フク,また,restaurar- retornar para- reverter- retomar
移,イ,うつ.る うつ.す,shift- move- change- drift- catch (cold- fire)- pass into
個,コ カ,,contador individual para artigos e unidades militares
門,モン,かど,portões
課,カ,,capítulo- lição- seção- departamento- divisão- contador de capítulos (de um livro)
脳,ノウ ドウ,のうずる,cérebro- memória
極,キョク ゴク,きわ.める きわ.まる きわ.まり きわ.み き.める -ぎ.め き.まる,postes- assentamento- conclusão- final- classificação mais alta- postes elétricos- muito- extremamente- mais- altamente- 10**48
含,ガン,ふく.む ふく.める,incluir- ter em mente- compreender- estimar
蔵,ゾウ ソウ カク.レ,くら おさ.める,armazém- esconder- possuir- possuir- possuir
量,リョウ ハカ.,, quantidade- medida- peso- quantidade- considerar- estimar- supor
型,ケイ,かた -がた,molde- tipo- modelo
況,キョウ,まし.て いわ.んや おもむき,condição- situação
針,シンハ,,agulha- alfinete- grampo- ferrão
専,セン,もっぱ.ら,especialidade- exclusivo- principalmente- unicamente
谷,コク キワ.マ,たに,vale
史,,,história- crônica
階,カイ キザハ,,andar- escada- balcão para andares de um edifício
管,カンク,,cachimbo- tubo- instrumento de sopro- conversa bêbada
兵,ヘイ ヒョウ ツワモ,,soldado- soldados- tropas- exército- guerra- estratégia- táticas
接,セツ ショウ,つ.ぐ,tocar- contatar- juntar- juntar
細,サイ,ほそ.い ほそ.る こま.か こま.かい,delicado- ficar magro- afunilado- delgado- estreito
効,コウ,き.く ききめ なら.う,mérito- eficácia- eficiência- benefício
丸,ガン マル.,まる まる.める,redondo- mês inteiro- perfeição- -enviar- pílulas- fazer redondo- enrolar- enrolar- seduzir- explicar
湾,ワン,いりえ,Gulf Bay Inlet
録,ロク,,registro
省,セイ ショウ ハブ.,かえり.みる,foco- ministério do governo- conservar
旧,キュウ,ふる.い もと,velhos tempos- coisas antigas- velho amigo- ex- ex-
橋,キョウ ハ,,ponte
岸,ガンキ,,praia
周,シュウ マワ.,, circunferência- circuito- volta
材,ザ,,madeira- tora- madeira- madeira- talento
戸,コ,,porta
央,オ,,centro- meio
券,ケン,,bilhete
編,ヘン,あ.む -あ.み,compilação- tricotar- trançar- trançar- torcer- editar- poema completo- parte de um livro
捜,ソウ シュ シュウ,さが.す,procurar- procurar- localizar
竹,チクタ,,bambu
超,チョウ コ.,こ.える,transcender- super- ultra-
並,ヘイ ホウ ナラ.ビ,な.み なら.べる なら.ぶ,linha-e-além-bem-alinhar- up- rank com- rival- igual
療,リョウ,,curar- curar
採,サイ,と.る,pegar- pegar- pegar- pegar
森,シンモ,,floresta
競,キョウ ケイ セ.,きそ.う,emular- competir com- licitar- vender em leilão- sobre- concurso- corrida
介,カ,,preso em- marisco- mediar- preocupar-se com
根,コン,ね -ね,raiz- radical-cabeça (espinha)
販,ハン,,marketing- venda- comércio
歴,レキ レッキ,,currículo- continuação- passagem do tempo
将,ショウ ソウ モッ,まさ.に はた まさ ひきい.る,líder-comandante-general- almirante- ou- e novamente- em breve- a partir de agora- quase
幅,フク,はば,largura de rolagem suspensa
般,ハン,,portador- carrega- tudo
貿,ボウ,,troca comercial
講,コウ,,palestra- clube- associação
林,リン ハヤ,,bosque- floresta
装,ソウ ショウ,よそお.う よそお.い,trajar- vestir- fingir- disfarçar- professar
諸,ショ,もろ,vários- muitos- vários- juntos
劇,ゲキ,,peça dramática
河,カ カ,,rio
航,コ,,navegar- velejar- cruzeiro- voar
鉄,テツ クロガ,,ferro
児,ジ ニ ゲイ -ッ,こ -こ,bebê recém-nascido- criança- jovem de animais
禁,キン,,proibir- proibir- proibir
印,イン,しるし -じるし しる.す,selo- selo- marca- impressão- símbolo- emblema- marca registrada- evidência- lembrança- Índia
逆,ギャク ゲキ,さか さか.さ さか.らう,invertido- reverso- oposto- perverso
換,カン,か.える -か.える か.わる,intercâmbio- período- carga- mudança?
久,キュウ ク ヒサ.シ,,longa história antiga
短,タン,みじか.い,curto- brevidade- falha- defeito- ponto fraco
油,ユ ユ ウ,あぶら,óleo- gordura
暴,ボウ バク,あば.く あば.れる,explosão- delírio- preocupação- força- violência- crueldade- indignação
輪,リン,,roda- anel- círculo- link- loop- contador para rodas e flores
占,セン ウラナ.,し.める,adivinhação- adivinhação- previsão- ocupar- manter- ter- obter- tomar
植,ショク ウ.ワ,う.える,plantar
清,セイ ショウ シン キヨ.メ,きよ.い きよ.まる,purificar- purificar- limpar- exorcizar- dinastia Manchu
倍,バ,,dobrar- duas vezes- dobrar
均,キン ナラ.,, nível- médio
億,オ,,cem milhões- 10**8
圧,アツ エン オウ,お.す へ.す おさ.える お.さえる,pressão- empurrar- oprimir- oprimir- dominar
 ·,ゲイ ウン ワ,う.える のり,técnica- arte- artesanato- performance- atuação- truque- dublê
署,ショ,,assinatura- repartição pública- delegacia de polícia
伸,シ ン ノ.,の.びる の.ばす の.べる,expandir- esticar- estender- alongar- aumentar
停,テイ,と.める と.まる,parar
爆,バク,は.ぜる,explosão de bomba open- pop- split
陸,リク ロク オ,,terra- seis
玉,ギョク -ダ,たま たま-, bola de joia
波,ハ ナ,,ondas- vagas- Polónia
帯,タイオ,お.びる,faixa- cinto- obi- zona- região
延,エン ノ.バ,の.びる の.べる の.べ,prolongar- alongamento
羽,ウ ハ,は わ,penas- contador para pássaros- coelhos
固,コ,かた.める かた.まる かた.まり かた.い,endurecer- endurecer- coagular- coalhar
則,ソク ノット.,, regra seguir baseado no modelo após
乱,ラン ロン ワタ.,みだ.れる みだ.る みだ.す みだ おさ.める,tumulto- guerra- desordem- perturbação
普,フ ア マ ネ,あまね.く,universal- ampla(ly)- geralmente- Prússia
測,ソク,はか.る,braça- plano- esquema- medida
豊,ホウ ブ ト,ゆた.か,generoso- excelente- rico
厚,コウア,あつ.い,grosso- pesado- rico- gentil- cordial- descarado- desavergonhado
齢,レイ,よわ.い とし,idade
囲,イ,かこ.む かこ.う かこ.い,cercar- sitiar- armazenar- empalar- cercar- cercar- preservar- manter
卒,ソツ シュツ,そっ.する お.える お.わる ついに にわか,graduado- soldado- soldado- soldado- morrer
略,リャク,ほぼ おか.す おさ.める はかりごと はか.る はぶ.く りゃく.す りゃく.する,abreviação- omissão- esboço- encurtar- capturar- saquear
承,ショウ ウ.ケ,うけたまわ.る,aquiescer- ouvir- ouvir- ser informado- receber
順,ジュ,,obedecer- ordem- virar- direita- docilidade- ocasião
岩,ガン,いわ,boulder- rock- cliff
練,レンネ.,ね.る,praticar- brilho- treinar- perfurar- polir- refinar
軽,ケイ,かる.い かろ.やか かろ.んじる,levemente insignificante sem importância
了,リョ,,completo-acabamento
庁,チョウ テイ,やくしょ,escritório do governo
城,ジョウ シ,,castelo
患,カン ワズラ.,, aflito- doença- sofrer de- estar doente
層,ソウ,,estrato- classe social- camada- andar- andar
版,ハン,,bloco de impressão- chapa de impressão- edição- impressão- etiqueta
令,レ,,ordens- leis antigas- comando- decreto
角,カクツ,かど,ângulo- canto- quadrado- chifre- chifres
絡,ラク,から.む から.まる,entrelaçar- enrolar- ficar preso
損,ソン,そこ.なう そこな.う -そこ.なう そこ.ねる -そこ.ねる,dano- perda- desvantagem- machucar- machucar
募,ボ,つの.る,recrutar- campanha- reunir (contribuições)- alistar- tornar-se violento
裏,リ,うら,costas- no meio- ao contrário- dentro- palma- sola- traseira- forro- lado avesso
仏,ブツ フツ,ほとけ,Buda- os mortos- França
