政,セイ ショウ マ,まつりごと,política- governo
議,,,deliberação- consulta- debate- consideração
民,ミンタ,,povo- nação- súditos
連,レン -ヅ.,つら.なる つら.ねる つ.れる,leve junto- conduza- junte-se- conecte- festa- gangue- panelinha
対,タイ ツイ ムカ.,あいて こた.える そろ.い つれあ.い なら.ぶ,vis-a-vis- oposto- par- igual- versus- anti-- comparar
部,ブ -,, seção- escritório- departamento- classe- cópia- parte- porção- balcão para cópias de um jornal ou revista
合,ゴウ ガッ カッ -ア.ワセ,あ.う -あ.う あ.い あい- -あ.い -あい あ.わす あ.わせる,fit-suit- join- 0.1
市,シ イ,,mercado- cidade- cidade
内,ナイ ダイ ウ,,dentro- dentro- entre- entre- casa- casa
相,ソウ ショウ,あい,inter- mútuo- juntos- uns aos outros- ministro de estado- conselheiro- aspecto- fase- fisionomia
定,テイ ジョウ サダ.,さだ.める さだ.まる,determinar- fixar- estabelecer- decidir
回,カイエ,まわ.る -まわ.る -まわ.り まわ.す -まわ.す まわ.し- -まわ.し もとお.る か.える,-vezes- volta- jogo- gira- contador de ocorrências
選,セン,えら.ぶ,eleger- selecionar- escolher- preferir
米,ベイ マイ メエトル ヨ,こめ,arroz- EUA- metro
実,ジツ シツ ミチ.,み みの.る まこと まことに みの,realidade- verdade
関,カン,せき -ぜき かか.わる からくり かんぬき,conexão- barreira- gateway- envolver- relativo
決,ケツ,き.める -ぎ.め き.まる さ.く,decidir- corrigir- concordar em- nomear
全,ゼ ン ス ベ.,まった.く,todo- inteiro- todo- completo- cumprir
表,ヒョウ,おもて -おもて あらわ.す あらわ.れる あら.わす,superfície- tabela- gráfico- diagrama
戦,セン ワナナ.,いくさ たたか.う おのの.く そよぐ,guerra-batalha-partida
経,ケイ キョウ ノ,へ.る た.つ たていと はか.る,sutra- longitude- pass thru- expire- warp
最,サイ シュ ツ,もっと.も,extremo- mais- extremo
現,ゲン アラワ.,あらわ.れる,presente- existente- atual
調,チョウ トトノ.エ,しら.べる しら.べ ととの.う,afinar- tom- medidor- chave (música)- estilo de escrita- preparar- exorcizar- investigar
化,カ ケ,ば.ける ば.かす ふ.ける け.する,mudar- tomar a forma de- influenciar- encantar- iludir- -
当,トウ マサ.ニベ,あ.たる あ.たり あ.てる あ.て まさ.に,acertar- acertar- apropriar-se
約,ヤク,,promessa- aproximadamente- encolher
首,シュク,,pescoço
法,ホウ ハッ ホッ フラン ノ,,método- lei- regra- princípio- modelo- sistema
性,セイ ショウ,さが,sexo- gênero- natureza
要,ヨウ イ.,, necessidade- ponto principal- essência- pivô- chave para
制,セイ,,sistema- lei- regra
治,ジ チ ナ オ.,おさ.める おさ.まる なお.る,reinar- estar em paz- acalmar- subjugar- dominar- governar- curar- curar- governar- conservar
務,ム ツト.メ,,tarefas
成,セイ ジョウ -ナ.,な.る な.す,transformar-se-tornar-se-crescer-transcorrer-alcançar
期,キ ゴ,,período- hora- data- prazo
取,シュ -ド.,と.る と.り と.り- とり,pegar- pegar- pegar
都,ト ツ ミ ヤ,,metrópole- capital
和,ワ オ カ ナゴ.ヤ,やわ.らぐ やわ.らげる なご.む,harmonia- estilo japonês- paz- suavizar- Japão
機,キ,はた,mecanismo- oportunidade- ocasião- máquina- avião
平,ヘイ ビョウ ヒョウ,たい.ら -だいら ひら ひら,paz uniforme
加,カ,くわ.える くわ.わる,adicionar- adição- aumentar- juntar- incluir- Canadá
受,ジュ ウ.カ,う.ける -う.け,aceitar- passar- atender (telefone)- pegar- pegar- pegar- receber
続,ゾク ショク コウ キョウ ツグ.ナ,つづ.く つづ.ける,continuar- série- sequela
進,シン スス.メ,すす.む,avançar- prosseguir- progredir- promover
数,スウ ス サク ソク シュ ワズラワ.シ,かず かぞ.える しばしば せ.める,número- força- destino- lei- figuras
記,キ シ ル.,, escriba- conta- narrativa
初,ショ -ゾ.,はじ.め はじ.めて はつ はつ- うい- -そ.める,primeira vez- começo
指,シ -サ.,ゆびさ.す,apontar com o dedo para indicar colocar em jogo (xadrez) medir (régua)
権,ケン ゴン,おもり かり はか.る,autoridade- poder- direitos
支,,しんよう じゅうまた,branch- suporte- sustentação
産,サ ン ム.,う.む う.まれる うぶ-, produtos- dar à luz- dar à luz- dar à luz- nativo- propriedade
点,テン,つ.ける つ.く た.てる さ.す とぼ.す とも.す ぼち,ponto- ponto- marca- mancha- ponto decimal
報,ホウ,むく.いる,relatório- notícias- recompensa- retribuição
済,サ イ セ イ ワ タ.,す.む -ず.み -ずみ す.まない す.ます -す.ます すく.う な.す わたし,terminar- chegar ao fim- desculpável- não precisa
活,カツ,い.きる い.かす い.ける,animado- reanimação- sendo ajudado- vivendo
原,ゲンハ,,prado- original- primitivo- campo- planície- pradaria- tundra- deserto
共,キョウ,とも とも.に -ども,juntos- ambos- nenhum- todos- e- iguais- com
得,トク ウ.,え.る,ganhar- obter- encontrar- ganhar- adquirir- pode- pode- capaz de- lucrar- vantagem- benefício
解,カ イ ゲ サ ト.,と.く と.かす と.ける ほど.く ほど.ける わか.る,desvendar- notas- chave- explicação- compreensão- desatar- desfazer- resolver- responder- cancelar- absolver- explicar- minuto
交,コウ コモゴ,まじ.わる まじ.える ま.じる まじ.る ま.ざる ま.ぜる -か.う か.わす かわ.す,misturar- misturar- associação- ir e vir
資,,,ativos- recursos- capital- fundos- dados- ser propício para- contribuir para
予,ヨ シ ャ,あらかじ.め,de antemão- anterior- eu- eu
向,コ ウ ム カ.,む.く む.い -む.き む.ける -む.け む.かう む.かい む.こう む.こう- むこ,além- enfrentando- além- confrontar- desafiar- tender para- aproximar-se
際,サイ -ギ,きわ,ocasião- lado- borda- beira- perigoso- aventureiro- indecente- tempo- quando
勝,ショウカ,か.つ -が.ち まさ.る すぐ.れる,vitória- vencer- prevalecer- excel
面,メン ベン ツ,おも おもて,máscara- rosto- características- superfície
告,コク ツ.ゲ,,revelação- dizer- informar- anunciar
反,ハン ホン タン ホ -カエ.,そ.る そ.らす かえ.す かえ.る,anti-
判,ハン バン,わか.る,julgamento- assinatura- carimbo- selo
認,ニン,みと.める したた.める,reconhecer- testemunhar- discernir- reconhecer- apreciar- acreditar
参,サン シン ミ,まい.る まい- まじわる,perplexo- três- indo- vindo- visitando- visita- ser derrotado- morrer- estar loucamente apaixonado
利,リ キ.,, lucro- vantagem- benefício
組,ソ,く.む くみ -ぐみ,associação- trançar- trançar- construir- montar- unir- cooperar- agarrar
信,シ,,fé- verdade- fidelidade- confiança
在,ザ イ ア.,, existe- periferia- subúrbios- localizado em
件,ケン,くだん,assunto- caso- assunto- item
側,ソク,かわ がわ そば,lateral- inclinar- opor- lamentar
任,ニン マカ.,まか.せる,responsabilidade- dever- prazo- incumbir- nomear
引,イン ヒ.ケ,ひ.く ひ.き ひ.き- -び.き,pull- tug- jerk- admitir- instalar- citar- consulte
求,キュウ グ,もと.める,solicitar- querer- desejar- exigir- exigir
所,ショト,ところ -ところ どころ,lugar
次,ジ シ ツ,つ.ぐ,sequência de ordem seguinte
昨,サク,,ontem- anterior
論,ロン,,argumento- discurso
官,カン,,burocrata- o governo
増,ゾウ フ.ヤ,ま.す ま.し ふ.える,aumentar- adicionar- aumentar- ganhar- promover
係,ケイ,かか.る かかり -がかり かか.わる,pessoa encarregada- conexão- dever- preocupar-se
感,カン,,emoção- sentimento- sensação
情,ジョウセイ,なさ.け,sentimentos- emoção- paixão- simpatia- circunstâncias- fatos
投,トウ,な.げる -な.げ,jogar- descartar- abandonar- lançar em- juntar- investir em- lançar- desistir- vender com prejuízo
示,ジ シ,しめ.す,mostrar- indicar- apontar- expressar- exibir
変,ヘン,か.わる か.わり か.える,incomum- mudança- estranho
打,ダ ダ ア ス ブ.,う.つ う.ち-, strike- hit- knock- pound- dúzia
直,チョク ジキ ジカ ス.,ただ.ちに なお.す -なお.す なお.る なお.き,imediatamente- honestidade- franqueza- consertar- reparar
両,リョウ フタ,てる,ambos- antigo contador de moedas japonesas para veículos- dois
式,シ,,estilo- cerimônia- rito- função- método- sistema- forma- expressão
確,カク コウ,たし.か たし.かめる,garantia- firme- firme- duro- sólido- confirmar- claro- evidente
果,カ ハ.,は.たす はた.す -は.たす は.てる -は.てる,fruto- recompensa- realizar- alcançar- completo- final- terminar- sucesso
容,ヨウ イ.レ,,contém- forma- parece
必,ヒツ,かなら.ず,invariavelmente- certo- inevitável
演,エン,,desempenho- ato- jogo- renderização- palco
歳,サイ セイ,とし とせ よわい,fim de ano- idade- ocasião- oportunidade
争,ソウ,あらそ.う いか.でか,contender- disputar- argumentar
談,ダン,,discutir- falar
能,ノウ ヨ.,, habilidade- talento- habilidade- capacidade
位,イ グ ラ,くらい,classificação- grau- trono- coroa- sobre- alguns
置,チ -オ.,お.く,colocação- colocar- definir- depositar- deixar para trás- manter- empregar- peão
流,リュウ ル -ナガ.,なが.れる なが.れ なが.す,corrente- um dreno- fluxo- perda
格,カク コウ キャク ゴ,,status- posto- capacidade- caráter- caso (lei- gramática)
疑,ギ,うたが.う,duvidar- desconfiar- suspeitar- questionar
過,カ,す.ぎる -す.ぎる -す.ぎ す.ごす あやま.つ あやま.ち,exagerar- exceder- ir além- erro
局,キョク,つぼね,escrivaninha- escritório- caso- conclusão- corte dama- dama de companhia- seu apartamento
放,ホウ ホウ.,はな.す -っぱな.し はな.つ はな.れる こ.く,libertar- liberar- disparar- atirar- emitir- banir- liberar
常,ジョウ,つね とこ,usual- ordinário- normal- regular
状,ジョウ,,status quo- condições- circunstâncias- forma- aparência
球,キュウ タ,,bola-esfera
職,ショクソ,,pós-emprego- trabalho
与,ヨ ト モ,あた.える あずか.る くみ.する,conceder- participar em- dar- premiar- conceder- fornecer- causa- presente- dádiva de Deus
供,キョウ ク クウ グ,そな.える とも -ども,enviar- oferecer- presentear- servir (refeição)- acompanhar
役,ヤクエ,,dever- guerra- campanha- trabalho elaborado- escritório- serviço- função
構,コウ カマ.,かま.える,postura- construir- fingir
割,カツ,わ.る わり わ.り わ.れる さ.く,proporção- comparativamente- dividir- cortar- separar- dividir
費,ヒ,つい.やす つい.える,despesa- custo- gastar- consumir- desperdício
付,フ -ヅ,つ.ける -つ.ける -づ.ける つ.け つ.け- -つ.け -づ.け -づけ つ.く -づ.く つ.き -つ.き -つ,aderir- anexar- referir-se a- anexar
由,ユ ユ ウ ユ イ,よし よ.る,portanto- uma razão
説,セツ ゼイ ト.,, rumor- opinião- teoria
難,ナン -ニク.,かた.い -がた.い むずか.しい むづか.しい むつか.しい,difícil- impossível- problema- acidente- defeito
優,ユウ ウ マサ.,やさ.しい すぐ.れる,ternura- superação- superação- ator- superioridade- gentileza
夫,フ フウ ブ ソ.,おっと,marido
