日,ニチ ジツ -,ひ -び,dia- sol- Japão
一,イ チ イ ツ ヒ ト.,ひと-, um
国,コクク,,país
人,ジン ニン -,ひと -り,pessoa
年,ネント,,ano
大,ダイ タイ -オオ.イ,おお- おお.きい,grande- grande
十,ジュウ ジッ ジュッ,とお,dez
二,ニ ジ フ タ タ.,ふた ふた.つ,dois
本,ホンモ,,livro- presente- principal- verdadeiro- real- contador para coisas longas
中,チュウ アタ.,なか うち,dentro- dentro- meio- médio- centro
長,チョウオ,なが.い,líder de longa data
出,シュツ スイ イ.ダ,で.る -で だ.す -だ.す い.でる,sair- sair
三,サン ゾウ ミッ.,み み.つ,três
時,ジ -ド,とき,tempo- hora
行,コウ ギョウ アン オコ.ナ,い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う,viagem
見,ケン,み.る み.える み.せる,ver- esperanças- chances- ideia- opinião- olhar para- visível
月,ゲツ ガツ ツ,,mês-lua
後,ゴ コ ウ オ ク.レ,のち うし.ろ うしろ あと,atrás- costas- mais tarde
前,ゼン -マ,まえ,na frente- antes
生,セイ ショウ -,い.きる い.かす い.ける う.まれる う.まれ うまれ う.む お.う は.える は.やすま- な.る,vida- genuíno- nascimento
五,ゴ イ ツ.,いつ,cinco
間,カン ケン,あいだ ま あい,espaço de intervalo
上,ジョウ ショウ シャン ヨ.,うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ., acima de cima
東,トウ ヒガ,,leste
四,シ ヨ,よ よ.つ よっ.つ,quatro
今,コン キン イ,,agora
金,キン コン ゴン -ガ,かね かな-, ouro
九,キュウ ク ココノ.,ここの,nove
入,ニュウ ジュ ハイ.,い.る -い.る -い.り い.れる -い.れ,enter- inserir
学,ガク マナ.,, estudar- aprender- ciência
高,コウ タカ.メ,たか.い たか -だか たか.まる,alto- alto- caro
円,エン マロ.ヤ,まる.い まる まど まど.か,círculo- iene- rodada
子,シ ス ツ,こ -こ,criança- signo do rato- 23h-1h- primeiro signo do zodíaco chinês
外,ガイゲ,そと ほか はず.す はず.れる と,fora
八,ハチヨ,や や.つ やっ.つ,oito
六,ロク リク ム,む む.つ むっ.つ,seis
下,カ ゲ オ.リ,した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす,abaixo- para baixo- descer- dar- baixo- inferior
来,ライ タイ,く.る きた.る きた.す き.たす き.たる き,vir- devido- próxima- causa- tornar-se
気,キ ケ,いき,mente espiritual
小,ショウ,ちい.さい こ- お- さ,pequeno- pequeno
七,シ チ ナ,なな なな.つ,Sete
山,サン セン ヤ,,montanha
話,ワ,はな.す はなし,conto de fadas
女,ジョ ニョ ニョウ,おんな,mulher- fêmea
北,ホクキ,,norte
午,ゴ,うま,meio-dia- signo do cavalo- 11h-13h- sétimo signo do zodíaco chinês
百,ヒャク ビャク モ,,centenas
書,ショ -ガ,か.く -が.き,escrever
先,センマ.,さき,antes- à frente- anterior- futuro- precedência
名,メイ ミョウ -,な,nome- conhecido- distinto- reputação
川,センカ,,córrego- rio
千,セン,,mil
水,スイ,みず みず,água
半,ハン ナカ.,, meio- meio- número ímpar- semi- parte-
男,ダン ナン,おとこ,macho
西,セイ サイ ス ニ,,oeste- Espanha
電,デン,,eletricidade
校,コウ キョ,,exame- escola- impressão- prova- correção
語,ゴ,かた.る かた.らう,palavra- fala- linguagem
土,ド ト ツ,,solo- terra- chão- Turquia
木,ボク モク,き こ,madeira de árvore
聞,ブン モン,き.く き.こえる,ouvir- perguntar- ouvir
食,シ ョ ク ジ キ ハ.,く.う く.らう た.べる,comer alimentos
車,シャ クル,,carro
何,カ,なに なん なに- なん, que
南,ナン ナ ミナ,,sul
万,マン バン ヨロ,,dez mil
毎,マイ -ゴト.,ごと,todo
白,ハク ビャク シロ.,しろ しら-, branco
天,テン,あまつ あめ あま,céus- céu- imperial
母,ボ,ははも,mamãe- mãe
火,カ,ひ -び ほ-, fogo
右,ウ ユ ウ ミ,,certo
読,ドク トク トウ -ヨ.,よ.む,ler
友,ユウト,,amigo
左,サ シ ャ ヒ ダ,,esquerda
休,キュウ,やす.む やす.まる やす.める,descanso- dia de folga- aposentar- dormir
父,フ,ちち,pai
雨,ウ,あめ あま- -さめ,chuva
