,あっ,Ah!-Oh!
愛,あい,amor
挨拶,あいさつ,saudação-saudação
愛情,あいじょう,afeção amorosa
合図,あいず,sinal-sinal
,アイスクリーム,sorvete
愛する,あいする,amar
相手,あいて,companheiro-sócio-empresa
,あいにく,infelizmente-Desculpe-mas....
,アイロン,(ferro elétrico
,アウト,fora
明かり,あかり,lamplight-luz (em geral)-brilho
空き,あき,quarto-tempo para sobrar-vazio
明らか,あきらか,óbvio-evidente-claro
諦める,あきらめる,desistir - abandonar
飽きる,あきる,se cansar de perder o interesse em ter o suficiente
握手,あくしゅ,aperto de mão
悪魔,あくま,diabo-demônio-espírito maligno
明ける,あける,amanhecer - tornar-se luz do dia
,あした,amanhã
預ける,あずける,dar em custódia - confiar - depositar
汗,あせ,suor-transpiração
与える,あたえる,dar-apresentar-prêmio
暖かい,あたたか(い), quente-suave
辺り,あたり,vizinhança-próximo
当たる,あたる,ser atingido - ser bem-sucedido - ser equivalente a
,あちこち,aqui e alí
扱う,あつかう,tratar - lidar com - tratar
集まり,あつまり,reunião-reunião-montagem-coleção
当てる,あてる,to hit-para aplicar um patch
 ·,あと,(1) rastro-trilhas-marca-sinal-(2) restos-ruínas-(3) cicatriz
,あと, (1) rastros-(2) restos-ruínas-(3) cicatriz
穴,あな,buraco
浴びる,あびる,banhar-se ao sol-tomar banho
油,あぶら,óleo
余り,あまり,not very (usado como advérbio) - not much
誤り,あやまり,erro
粗,あら,defeito-falha-mancha-ponto fraco
嵐,あらし,tempestade
新た,あらた,romance novo
,あらゆる,tudo-todos
表す,あらわす,expressar-mostrar-revelar
現す,あらわす,mostrar-indicar-mostrar
現れ,あらわれ,incorporação-materialização
現れる,あらわれる,(1) aparecer - aparecer - tornar-se visível - (2) expressar-se
,ありがとう,(conj-exp-int) Obrigado
有る,ある,ser-ter
或,ある,um certo...-alguns...
,あるいは,ou-possivelmente
,アルバム,álbum
泡,あわ,bolha-espuma-espuma-cabeça na cerveja
合わせる,あわせる,unir-estar oposto-face-unir
哀れ,あわれ,desamparo-piedade-tristeza-dor
案,あん,plano-sufixo significado rascunho
暗記,あんき,memorização-aprendizagem de cor
安定,あんてい,estabilidade-equilíbrio
案内,あんない,informação-orientação-líder
,あんなに, esse ponto - a esse grau
,あんまり,não muito-não-muito-restante-descanso
胃,い,estômago
,いい,bom
,よい,bom-bom-agradável-ok
いえ,いえ,TODO o mesmo que いいえ?
委員,いいん,membro do Comitê
言う,ゆう,dizer
意外,いがい,inesperado-surpreendente
行き,いき,indo
行き,ゆき,indo
息,いき,tom de respiração
勢い,いきおい,força-vigor-energia-espírito
生き物,いきもの,coisa-animal vivo
幾つ,いくつ,quantos?-quantos anos?
幾ら,いくら,quanto quanto?
,いけない,não deve fazer-mal-errado-não bom
医師,いし,médico-médico
意思,いし,intenção-propósito
意志,いし,vontade-volição
維持,いじ,manutenção-preservação
意識,いしき,sentidos da consciência
異常,いじょう,transtorno de estranheza-anormalidade
椅子,いす,cadeira
泉,いずみ,fonte
,いずれ,onde-qual-quem
以前,いぜん,atrás-desde-antes-anterior
板,いた,prancha
偉大,いだい,grandeza
抱く,いだく,(sl) abraçar-abraçar-abrigar-entreter
,いたずら,provocação-pegadinha-truque-piada prática
,いただきます,expressão de gratidão antes das refeições
頂く,いただく,receber - levar comida ou bebida (hum)
痛み,いたみ,dor-dor-dor-dor-angústia
至る,いたる,vir-chegar
,いち,feira
位置,いち,lugar-situação-posição-localização
一時,いちじ,momento
一度に,いちどに,tudo de uma vez
市場,いちば,(o) mercado (como um conceito)
一番,いちばん,melhor primeiro número um
,いつか,algum dia-um dia-um dia
一家,いっか,uma casa-uma casa-uma família-uma casa
一種,いっしゅ,uma espécie-um tipo-uma variedade
一瞬,いっしゅん,um momento-um instante
一生,いっしょう,toda a vida-uma vida-durante toda a vida
一層,いっそう,muito mais-ainda mais-ainda mais
一体,いったい,(1) um objeto-um corpo-(2) o que diabos?-realmente?-(3) geralmente
一致,いっち,(1) coincidência-acordo-(2) conformidade
,いつでも,(em) a qualquer momento-sempre-sempre-nunca (neg)
一般,いっぱん,geral-liberal-universal-normal-média
一方,いっぽう,(1) por outro lado-(2) entretanto-(3) apenas-simples-por sua vez
,いつまでも,para sempre-para sempre-eternamente-contanto que se queira-indefinidamente
いつも,いつも,sempre-geralmente-sempre-nunca (com verbo neg.)
移動,いどう,remoção-migração-movimento
従兄弟,いとこ,primo)
稲,いね,planta de arroz
居眠り,いねむり,cochilando
命,いのち,comando-decreto-vida-destino
違反,いはん,violação (da lei)-transgressão-infração-violação
衣服,いふく,roupas
居間,いま,sala de estar (estilo ocidental)
今に,いまに,antes de muito tempo-mesmo agora
今にも,いまにも, qualquer momento em breve
否,いや,não-os nãos
以来,いらい,doravante
 por exemplo,いらい, (1) solicitação-comissão-despacho-(2) dependência-confiança
,いらいら,ficando nervoso-irritação
,いらっしゃい,Bem-vindo
医療,いりょう,assistência médica - tratamento médico
岩,いわ,rochedo
祝い,いわい,celebração-festival
祝う,いわう,felicitar-para celebrar
言わば,いわば,por assim dizer
,いわゆる, assim chamado para falar
,インク,tinta
印刷,いんさつ,impressão
印象,いんしょう,impressão
引退,いんたい,se aposentar
引用,いんよう,citação-citação
,ウイスキー,Uísque
上,うわ,superfície superior-externa
魚,うお,peixe
,うがい,gargarejo-enxágue a boca
伺う,うかがう,(hon) visitar-perguntar-inquirir
受け取る,うけとる,receber-aceitar-tomar
動かす,うごかす,to move-to shift
兎,うさぎ,coelho-lebre-cony
牛,うし,gado
失う,うしなう,perder - separar-se de
後,うしろ,depois-desde então-no futuro
嘘,うそ,mentira-falsidade-incorreto fato-inadequado
疑う,うたがう,duvidar-desconfiar-ser suspeito de-suspeitar
内,うち,dentro
宇宙,うちゅう,universo-cosmos-espaço
撃つ,うつ,atacar-derrotar-destruir
移す,うつす,remover-transferir-infectar
訴える,うったえる,processar (uma pessoa) - recorrer a - apelar para
,うなる,gemer-gemer
奪う,うばう,arrebatar
馬,うま,(1) cavalo-(2) bispo promovido (shogi)
うまい,うまい,delicioso
生まれ,うまれ,local de nascimento
梅,うめ,ameixa-ameixa-árvore-menor (de um sistema de classificação de três níveis)
裏切る,うらぎる,trair-tornar-traidor-trair-trair
,うるさい,barulhenta-alta-agitada
嬉しい,うれしい,feliz-feliz-agradável
売れる,うれる,para ser vendido
噂,うわさ,boato-relatório-fofoca-conversa comum
うん,(感), sorte
運,うん, sorte
運転,うんてん,operação-movimento-condução
運動,うんどう,exercício de movimento
柄,え,alça de mão
永遠,えいえん,eternidade-perpetuidade-imortalidade-permanência
永久,えいきゅう,eternidade-perpetuidade-imortalidade
影響,えいきょう,efeito de influência
営業,えいぎょう,gestão comercial
衛星,えいせい,satélite
栄養,えいよう,nutrição-alimentação
笑顔,えがお,rosto sorridente
描く,えがく,desenhar-pintar-esboçar-representar-descrever
餌,えさ,isca alimentar
,エネルギー,(n) energia (de: Energie)
得る,える,obter-ganhar-ganhar
得る,うる,obter-ganhar-ganhar
円,えん,círculo-dinheiro
延期,えんき,adiamento-adiamento
演技,えんぎ,atuação-performance
援助,えんじょ,assistência-ajuda-apoio
,エンジン,motor
演説,えんぜつ,endereço de fala
演奏,えんそう,apresentação musical
遠慮,えんりょ,desconfiança-restrição-reserva
御,お,honroso
老い,おい,velhice pessoa idosa - o velho - o idoso
追い付く,おいつく,ultrapassar - alcançar (com)
王,おう,rei-governante-soberano-monarca
追う,おう,perseguir - correr atrás
王様,おうさま,rei
王子,おうじ,Principe
応じる,おうじる,responder-satisfazer-aceitar-cumprir-candidatar-se
