会う,あう,encontrar
青,あお,azul
青い,あおい,azul
赤,あか,vermelho
赤い,あかい,vermelho
明い,あかるい,brilhante
秋,あき,outono
開く,あく,abrir- tornar-se aberto
開ける,あける,abrir
上げる,あげる,dar
朝,あさ,manhã
朝御飯,あさごはん,café da manhã
,あさって,dia depois de Amanhã
足,あし,pé- perna
明日,あした,amanhã
,あそこ,lá
遊ぶ,あそぶ,jogar- fazer uma visita
暖かい,あたたかい,esquentar
頭,あたま,cabeça
新しい,あたらしい,novo
,あちら,lá
暑い,あつい,quente
熱い,あつい,quente ao toque
厚い,あつい,tipo- profundo- grosso
,あっち,lá
後,あと,após
,あなた,você
兄,あに,(humilde) irmão mais velho
姉,あね,(humilde) irmã mais velha
,あの,aquilo lá
,あの, hum...
,アパート,apartamento
,あびる,banhar- tomar banho
危ない,あぶない,perigoso
甘い,あまい,doce
,あまり,não muito
雨,あめ,chuva
飴,あめ,doce
洗う,あらう,para lavar
,ある,to be-to have (usado para objetos inanimados)
歩く,あるく,andar
,あれ,que
,いい/よい,bom
,いいえ,não
言う,いう,dizer
家,いえ,casa
,いかが,como
行く,いく,ir
,いくつ,quantos?-quantos anos?
,いくら,quanto?
池,いけ,lago
医者,いしゃ,médico
,いす,cadeira
忙しい,いそがしい,ocupado- irritado
痛い,いたい,doloroso
一,いち,um
一日,いちにち,primeiro do mês
,いちばん,melhor primeiro
,いつ,quando
五日,いつか,cinco dias- quinto dia
一緒,いっしょ,junto
五つ,いつつ,cinco
,いつも,sempre
犬,いぬ,cachorro
今,いま,agora
意味,いみ,significado
妹,いもうと,(humilde) irmã mais nova
嫌,いや,desagradável
入口,いりぐち,Entrada
居る,いる,to be- to have (usado para pessoas e animais)
要る,いる,precisar
入れる,いれる,colocar em
色,いろ,cor
,いろいろ,vários
上,うえ,Em cima de
後ろ,うしろ,atrás
薄い,うすい,magro-fraco
歌,うた,canção
歌う,うたう,cantar
生まれる,うまれる,para nascer
海,うみ,mar
売る,うる,vender
煩い,うるさい,barulhento- irritante
上着,うわぎ,jaqueta
絵,え,foto
映画,えいが,filme
映画館,えいがかん,cinema
英語,えいご,língua Inglesa
,ええ,sim
駅,えき,estação
,エレベーター,elevador
鉛筆,えんぴつ,lápis
,おいしい,delicioso
多い,おおい,muitos
大きい,おおきい,grande
大きな,おおきな,grande
大勢,おおぜい,grande número de pessoas
お母さん,おかあさん,(honrosa) mãe
お菓子,おかし,doces- doces
お金,おかね,dinheiro
起きる,おきる,Levantar-se
置く,おく,colocar
奥さん,おくさん,(honrosa) esposa
お酒,おさけ,álcool- vinho de arroz
お皿,おさら,prato
伯父/叔父,おじいさん,avô- homem idoso
教える,おしえる,ensinar- contar
伯父/叔父,おじさん,tio- senhor de meia idade
押す,おす,empurrar- carimbar algo
遅い,おそい,tarde- lento
お茶,おちゃ,Chá verde
お手洗い,おてあらい,banheiro
お父さん,おとうさん,(honrado) pai
弟,おとうと,Irmão mais novo
男,おとこ,Homem
男の子,おとこのこ,Garoto
一昨日,おととい,anteontem
一昨年,おととし,ano retrasado
大人,おとな,Adulto
,おなか,estômago
同じ,おなじ,mesmo
お兄さん,おにいさん,(honrado) irmão mais velho
お姉さん,おねえさん,(honrosa) irmã mais velha
,おばあさん,avó- cidadã idosa
伯母さん/叔母さん,おばさん,Tia
お風呂,おふろ,Banho
お弁当,おべんとう,almoço embalado
覚える,おぼえる,lembrar
,おまわりさん,termo amigável para policial
重い,おもい,Pesado
,おもしろい,Interessante
泳ぐ,およぐ,nadar
降りる,おりる,descer - descer
終る,おわる,terminar
音楽,おんがく,Música
女,おんな,Mulher
女 の 子,おんなのこ,Garota
外国,がいこく,país estrangeiro
外国人,がいこくじん,Estrangeiro
会社,かいしゃ,Empresa
階段,かいだん,Escadaria
買い物,かいもの,Compras
買う,かう,comprar
返す,かえす,para retornar algo
帰る,かえる,voltar
,かかる,levar tempo ou dinheiro
,かぎ,Chave
書く,かく,escrever
学生,がくせい,Estudante
,かける,chamar por telefone
傘,かさ,Guarda-chuva
貸す,かす,emprestar
風,かぜ,Vento
風邪,かぜ,um resfriado
家族,かぞく,Família
方,かた,pessoa- maneira de fazer
学校,がっこう,Escola
,カップ,Xícara
家庭,かてい,Doméstico
角,かど,uma esquina
,かばん,bolsa-cesta
花瓶,かびん,um vaso
紙,かみ,papel
,カメラ,Câmera
火曜日,かようび,Terça-feira
辛い,からい,Apimentado
体,からだ,Corpo
借りる,かりる,emprestar
軽い,かるい,Luz
,カレー,Curry
,カレンダー,calendário
川/河,かわ,Rio
,かわいい,Bonitinho
漢字,かんじ,caractere chinês
木,き,madeira de árvore
黄色,きいろ,amarelo
黄色い,きいろい,amarelo
消える,きえる,para desaparecer
聞く,きく,ouvir- ouvir- perguntar
北,きた,Norte
,ギター,Guitarra
汚い,きたない,Sujo
喫茶店,きっさてん,salão de café
切手,きって,selo
切符,きっぷ,Bilhete
昨日,きのう,Ontem
九,きゅう / く,Nove
牛肉,ぎゅうにく,Carne bovina
牛乳,ぎゅうにゅう,Leite
今日,きょう,Hoje
教室,きょうしつ,Sala de aula
兄弟,きょうだい,(humildes) irmãos
去年,きょねん,ano passado
嫌い,きらい,Odiar
切る,きる,cortar
着る,きる,para vestir dos ombros para baixo
,きれい,bem limpo
,キロ/キログラム,Quilograma
,キロ/キロメートル,Quilômetro
銀行,ぎんこう,Banco
金曜日,きんようび,Sexta-feira
薬,くすり,medicamento
,ください,Por favor
果物,くだもの,Fruta
口,くち,abertura da boca
靴,くつ,Sapato
靴下,くつした,Meias
国,くに,País
曇り,くもり,Tempo nublado
曇る,くもる,tornar-se nublado - tornar-se escuro
暗い,くらい,Sombrio
,クラス,Aula
,グラム,Grama
来る,くる,vir
車,くるま,carro- veículo
黒,くろ,Preto
黒い,くろい,preto
警官,けいかん,policial
今朝,けさ,esta manhã
消す,けす,apagar- desligar a energia
結構,けっこう,esplêndido- o suficiente
結婚,けっこん,Casado
月曜日,げつようび,Segunda-feira
玄関,げんかん,Corredor de entrada
元気,げんき,saúde- vitalidade
五,ご,Cinco
公園,こうえん,Parque
交差点,こうさてん,interseção
紅茶,こうちゃ,chá preto
交番,こうばん,cabine de polícia
声,こえ,Voz
,コート,casaco- quadra de tenis
,コーヒー,Café
,ここ,Aqui
午後,ごご,tarde
九日,ここのか,nove dias - nono dia
九つ,ここのつ,Nove
午前,ごぜん,manhã
答える,こたえる,para responder
,こちら,esta pessoa ou maneira
,こっち,esta pessoa ou maneira
,コップ,um copo
今年,ことし,este ano
言葉,ことば,linguagem de palavras
子供,こども,Criança
,この,Esse
御飯,ごはん,farinha de arroz cozido
,コピーする,copiar
困る,こまる,estar preocupado
,これ,Esse
今月,こんげつ,este mês
今週,こんしゅう,essa semana
,こんな,Tal
今晩,こんばん,esta noite
,さあ,bem…
財布,さいふ,Carteira
魚,さかな,Peixe
先,さき, futuro- anterior
咲く,さく,florescer
作文,さくぶん,composição- escrita
差す,さす,esticar as mãos - levantar um guarda-chuva
雑誌,ざっし,Revista
砂糖,さとう,Açúcar
寒い,さむい,Frio
さ来年,さらいねん,ano após próximo
三,さん,Três
散歩,さんぽする,passear
四,し / よん,quatro
塩,しお,Sal
,しかし,No entanto
時間,じかん,Tempo
仕事,しごと,Trabalho
辞書,じしょ,Dicionário
静か,しずか,Quieto
下,した,Abaixo
七,しち / なな,Sete
質問,しつもん,Pergunta
自転車,じてんしゃ,Bicicleta
自動車,じどうしゃ,Automóvel
死ぬ,しぬ,morrer
字引,じびき,Dicionário
自分,じぶん, si mesmo
閉まる,しまる,fechar- estar fechado
閉める,しめる,fechar algo
締める,しめる,amarrar
,じゃ/じゃあ,bem então…
写真,しゃしん,fotografia
,シャツ,Camisa
,シャワー,Banho
十,じゅう とお,Dez
授業,じゅぎょう,trabalho de aula
宿題,しゅくだい,trabalho de casa
上手,じょうず,Hábil
丈夫,じょうぶ,forte- durável
,しょうゆ,molho de soja
食堂,しょくどう,sala de jantar
知る,しる,saber
白,しろ,Branco
白い,しろい,Branco
新聞,しんぶん,jornal
水曜日,すいようび,Quarta-feira
吸う,すう,fumar- chupar
,スカート,Saia
好き,すき,Simpático
少ない,すくない,um pouco
,すぐに,Imediatamente
少し,すこし,Alguns
涼しい,すずしい,Refrescante
,ストーブ,Aquecedor
,スプーン,Colher
,スポーツ,Esporte
,ズボン,Calça
住む,すむ,viver em
,スリッパ,Chinelos
,する,pendência
座る,すわる,sentar
背,せ,altura- estatura
生徒,せいと,Aluno
,セーター,suéter- jumper
,せっけん,Economia
背広,せびろ,terno de negócio
狭い,せまい,Estreito
,ゼロ,Zero
千,せん,Mil
先月,せんげつ,mês passado
先週,せんしゅう,semana passada
先生,せんせい,professor- médico
洗濯,せんたく,Lavando
全部,ぜんぶ,Todos
掃除,そうじする,limpar- varrer
,そうして/そして,E
,そこ,aquele lugar
,そちら,lá
,そっち,lá
外,そと,Fora
,その,Que
,そば,quase ao lado
空,そら,Céu
,それ,que
,それから,depois disso
,それでは,nessa situação
大学,だいがく,universidade
大使館,たいしかん,embaixada
大丈夫,だいじょうぶ,tudo bem
大好き,だいすき,ser muito simpático
大切,たいせつ,importante
台所,だいどころ,cozinha
,たいへん,muito
,たいへん, situação difícil
高い,たかい,alto- caro
,たくさん,muitos
,タクシー,Táxi
出す,だす,colocar para fora
立つ,たつ,ficar de pé
,たて,comprimento-altura
建物,たてもの,prédio
楽しい,たのしい,agradável
頼む,た の む,perguntar
,たばこ,tabaco-cigarros
,たぶん,provavelmente
食べ物,たべもの,comida
食べる,たべる,comer
卵,たまご,ovo
誰,だれ,Quem
誰,だれか,alguém
誕生日,たんじょうび,aniversário
,だんだん,gradualmente
小さい,ちいさい,pequeno
小さな,ちいさな,pequeno
近い,ちかい,aproximar
違う,ちがう,diferir
近く,ちかく,aproximar
地下鉄,ちかてつ,metrô
地図,ちず,mapa
茶色,ちゃいろ,marrom
,ちゃわん,tigela de arroz
,ちょうど,exatamente
,ちょっと,de alguma forma
一日,ついたち,primeiro do mês
使う,つかう,usar
疲れる,つかれる,ficar cansado
次,つぎ,próximo
着く,つく,chegar a
机,つくえ,mesa
作る,つくる,fazer
,つける,ligar
勤める,つとめる,trabalhar para alguém
,つまらない,tedioso
冷たい,つめたい,frio ao toque
強い,つよい,poderoso
手,て,mão
,テープ,fita
,テーブル,mesa
,テープレコーダー,gravador
出かける,でかける,sair
手紙,てがみ,carta
,できる,ser capaz de
出口,でぐち,saída
,テスト,teste
,では,com isso...
,デパート,loja de departamento
,でも,mas
出る,でる,aparecer-sair
,テレビ,televisão
天気,てんき,clima
電気,でんき,eletricidade-luz elétrica
電車,でんしゃ,trem elétrico
電話,でんわ,Telefone
戸,と,porta estilo japonês
,ドア,porta de estilo ocidental
,トイレ,banheiro
,どう,como-de que maneira
,どうして,por que razão
,どうぞ,por favor
動物,どうぶつ,animal
,どうも,obrigado
遠い,とおい,distante
十日,とおか,dez dias - o décimo dia
時々,ときどき,às vezes
時計,とけい,relógio de pulso
,どこ,onde
所,ところ,lugar
年,とし,ano
図書館,としょかん,biblioteca
,どちら,qual dos dois
,どっち,qual
,とても,muito
,どなた,Quem
隣,となり,ao lado de
,どの,qual
飛ぶ,とぶ,voar para pular
止まる,とまる,parar
友達,ともだち,amigo
土曜日,どようび,Sábado
鳥,とり,pássaro
とり肉,とりにく,carne de frango
取る,とる,pegar algo
撮る,とる,tirar uma foto ou gravar um filme
,どれ,qual (de três ou mais)
,ナイフ,faca
中,なか,meio
長い,ながい,longo
鳴く,なく,"barulho de animais. chilrear ou coaxar, etc."
無くす,なくす,perder algo
,なぜ,por que
夏,なつ,verão
夏休み,なつやすみ,férias de verâo
,など,et cetera
七つ,ななつ,Sete
七日,なのか,sete dias-o sétimo dia
名前,なまえ,nome
習う,ならう,aprender
並ぶ,ならぶ,alinhar - ficar em fila
並べる,ならべる,para alinhar-para configurar
,なる,tornar-se
何,なん/なに, que
二,に,dois
賑やか,にぎやか,movimentado
肉,にく,carne
西,にし,oeste
日曜日,にちようび,Domingo
荷物,にもつ,bagagem
,ニュース,notícias
庭,にわ,jardim
脱ぐ,ぬぐ,tirar a roupa
温い,ぬるい,morno
,ネクタイ,gravata
猫,ねこ,gato
寝る,ねる,ir para a cama-para dormir
,ノート,caderno de exercícios
登る,のぼる,escalar
飲み物,のみもの,uma bebida
飲む,のむ,para beber
乗る,のる,para começar a andar
歯,は,dente
,パーティー,festa
,はい,sim
灰皿,はいざら,cinzeiro
入る,はいる,entrar - conter
葉書,はがき,cartão postal
,はく,vestir - colocar calças
箱,はこ,caixa
橋,はし,ponte
,はし, pauzinhos
始まる,はじまる,começar
初め/始め,はじめ,começo
初めて,はじめて,pela primeira vez
走る,はしる,para correr
,バス,ônibus
,バター,manteiga
二十歳,はたち,20 anos - 20 anos
働く,はたらく,trabalhar
八,はち,oito
二十日,はつか,vinte dias e vinte
花,はな,flor
鼻,はな,nariz
話,はなし,história
話す,はなす,falar
早い,はやい,cedo
速い,はやい,rápido
春,はる,primavera
貼る,はる,colar
晴れ,はれ,tempo limpo
晴れる,はれる,estar ensolarado
半,はん,metade
晩,ばん,noite
,パン,pão
,ハンカチ,lenço
番号,ばんごう,número
晩御飯,ばんごはん,refeição noturna
半分,はんぶん,meio minuto
東,ひがし,leste
引く,ひく,puxar
弾く,ひく,"tocar um instrumento com cordas, incluindo piano"
低い,ひくい,curto-baixo
飛行機,ひこうき,avião
左,ひだり,lado esquerdo
人,ひと,pessoa
一つ,ひとつ,um
一月,ひとつき,um mês
一人,ひとり,uma pessoa
暇,ひま,Tempo livre
百,ひゃく,centenas
病院,びょういん,hospital
病気,びょうき,doença
昼,ひる,meio-dia
昼御飯,ひるごはん,almoço
広い,ひろい,espaçoso
,フィルム,rolo de filme
封筒,ふうとう,envelope
,プール,piscina
,フォーク,garfo
吹く,ふく,para explodir
服,ふく,roupas
二つ,ふたつ,dois
豚肉,ぶたにく,carne de porco
二人,ふたり,duas pessoas
二日,ふつか,dois dias- segundo dia do mês
太い,ふとい,gordo
冬,ふゆ,inverno
降る,ふる,"cair- por exemplo, chuva ou neve"
古い,ふるい,velho (não usado para pessoas)
,ふろ,banho
文章,ぶんしょう,frase-texto
,ページ,página
下手,へた,inábil
,ベッド,cama
,ペット,bicho de estimação
部屋,へや,sala
辺,へん,área
,ペン,caneta
勉強,べんきょうする,estudar
便利,べんり,útil- conveniente
帽子,ぼうし,chapéu
,ボールペン,caneta esferográfica
,ほか,outro- o resto
,ポケット,bolso
欲しい,ほしい,querer
,ポスト,publicar
細い,ほそい,afinar
,ボタン,botão
,ホテル,hotel
本,ほん,livro
